entity_id,entity_type,license_id,license_name,is_pstn
Y2lzY29zcGFyazovL3VzL1BFT1BMRS82NDBhNjNmYS05ZGQ1LTQ3YjYtYjRiYi1hNGU2YWM4MTMxOTE,user,Y2lzY29zcGFyazovL3VzL0xJQ0VOU0UvZTVmN2Q5NzMtYjI2OS00Njg2LTk5N2UtNDUxMTkxNjhjZWQyOkZNU185ZWNhNzgxNC0zMzEzLTQ2NGYtOTY0Mi0wMjM5ODc1YmM5Zjg,Basic Messaging,False
Y2lzY29zcGFyazovL3VzL1BFT1BMRS84MTg5ZTBhMy0wMWUxLTRkOTAtYTk2NS0xNmM3Zjc4YzNlNDc,user,Y2lzY29zcGFyazovL3VzL0xJQ0VOU0UvZTVmN2Q5NzMtYjI2OS00Njg2LTk5N2UtNDUxMTkxNjhjZWQyOkZNU185ZWNhNzgxNC0zMzEzLTQ2NGYtOTY0Mi0wMjM5ODc1YmM5Zjg,Basic Messaging,False
Y2lzY29zcGFyazovL3VzL1BFT1BMRS8xYzY5YjFjOC1lYTA1LTQ3MjYtOWZhMS03YTE2ZTI5ODM5YzI,user,Y2lzY29zcGFyazovL3VzL0xJQ0VOU0UvZTVmN2Q5NzMtYjI2OS00Njg2LTk5N2UtNDUxMTkxNjhjZWQyOkZNU185ZWNhNzgxNC0zMzEzLTQ2NGYtOTY0Mi0wMjM5ODc1YmM5Zjg,Basic Messaging,False
Y2lzY29zcGFyazovL3VzL1BFT1BMRS81Mjk0YjI4Mi04MGNiLTRkMDAtOWFmZC05YjcwYjYyOGMzYjg,user,Y2lzY29zcGFyazovL3VzL0xJQ0VOU0UvZTVmN2Q5NzMtYjI2OS00Njg2LTk5N2UtNDUxMTkxNjhjZWQyOkZNU185ZWNhNzgxNC0zMzEzLTQ2NGYtOTY0Mi0wMjM5ODc1YmM5Zjg,Basic Messaging,False
Y2lzY29zcGFyazovL3VzL1BFT1BMRS9iMDJkMzIwOS0wYTc5LTQ4NmEtOTI1NC0yNzAzOWZmMmM4ZjA,user,Y2lzY29zcGFyazovL3VzL0xJQ0VOU0UvZTVmN2Q5NzMtYjI2OS00Njg2LTk5N2UtNDUxMTkxNjhjZWQyOkZNU185ZWNhNzgxNC0zMzEzLTQ2NGYtOTY0Mi0wMjM5ODc1YmM5Zjg,Basic Messaging,False
Y2lzY29zcGFyazovL3VzL1BFT1BMRS8yOTczNTg1ZC02NmY3LTQ1NDItYTg3Yi0zNmI1NzU5ZGUzZWI,user,Y2lzY29zcGFyazovL3VzL0xJQ0VOU0UvZTVmN2Q5NzMtYjI2OS00Njg2LTk5N2UtNDUxMTkxNjhjZWQyOkZNU185ZWNhNzgxNC0zMzEzLTQ2NGYtOTY0Mi0wMjM5ODc1YmM5Zjg,Basic Messaging,False
Y2lzY29zcGFyazovL3VzL1BFT1BMRS8wMjA0Yjg3Yy0zOGNkLTQ3MDItYmM3OC1mNGVjY2I3YzIzYWM,user,Y2lzY29zcGFyazovL3VzL0xJQ0VOU0UvZTVmN2Q5NzMtYjI2OS00Njg2LTk5N2UtNDUxMTkxNjhjZWQyOkZNU185ZWNhNzgxNC0zMzEzLTQ2NGYtOTY0Mi0wMjM5ODc1YmM5Zjg,Basic Messaging,False
Y2lzY29zcGFyazovL3VzL1BFT1BMRS9iMGUwNDk5MS1hYmE4LTRmYmMtOWI3NC1lMjA1NzJjYjY2NWM,user,Y2lzY29zcGFyazovL3VzL0xJQ0VOU0UvZTVmN2Q5NzMtYjI2OS00Njg2LTk5N2UtNDUxMTkxNjhjZWQyOkZNU185ZWNhNzgxNC0zMzEzLTQ2NGYtOTY0Mi0wMjM5ODc1YmM5Zjg,Basic Messaging,False
Y2lzY29zcGFyazovL3VzL1BFT1BMRS8yMzUyYzIwZi1hZDMzLTQ2YjYtODgxNS00MGUzMDhkYWVkNWQ,user,Y2lzY29zcGFyazovL3VzL0xJQ0VOU0UvZTVmN2Q5NzMtYjI2OS00Njg2LTk5N2UtNDUxMTkxNjhjZWQyOkZNU185ZWNhNzgxNC0zMzEzLTQ2NGYtOTY0Mi0wMjM5ODc1YmM5Zjg,Basic Messaging,False
Y2lzY29zcGFyazovL3VzL1BFT1BMRS9jZTQ0NTAxNC04NGYyLTQzYmMtYjNmZi01Njk0ODJhNjM1OGU,user,Y2lzY29zcGFyazovL3VzL0xJQ0VOU0UvZTVmN2Q5NzMtYjI2OS00Njg2LTk5N2UtNDUxMTkxNjhjZWQyOkZNU185ZWNhNzgxNC0zMzEzLTQ2NGYtOTY0Mi0wMjM5ODc1YmM5Zjg,Basic Messaging,False
Y2lzY29zcGFyazovL3VzL1BFT1BMRS80MTNkODk5OC1mOGZiLTQ0MzUtODBkYi1kYzhiYTM0MjQ2NTg,user,Y2lzY29zcGFyazovL3VzL0xJQ0VOU0UvZTVmN2Q5NzMtYjI2OS00Njg2LTk5N2UtNDUxMTkxNjhjZWQyOkZNU185ZWNhNzgxNC0zMzEzLTQ2NGYtOTY0Mi0wMjM5ODc1YmM5Zjg,Basic Messaging,False
Y2lzY29zcGFyazovL3VzL1BFT1BMRS81M2I0ZmE0Yy0xMDIyLTRlNGQtYjUxMC1hNjljN2U2OTE5NmI,user,Y2lzY29zcGFyazovL3VzL0xJQ0VOU0UvZTVmN2Q5NzMtYjI2OS00Njg2LTk5N2UtNDUxMTkxNjhjZWQyOkZNU185ZWNhNzgxNC0zMzEzLTQ2NGYtOTY0Mi0wMjM5ODc1YmM5Zjg,Basic Messaging,False
Y2lzY29zcGFyazovL3VzL1BFT1BMRS84MDBmNzVhMC0xNDVhLTQxZGEtYjExOS0xNjc5YTE3YTJjZGM,user,Y2lzY29zcGFyazovL3VzL0xJQ0VOU0UvZTVmN2Q5NzMtYjI2OS00Njg2LTk5N2UtNDUxMTkxNjhjZWQyOkZNU185ZWNhNzgxNC0zMzEzLTQ2NGYtOTY0Mi0wMjM5ODc1YmM5Zjg,Basic Messaging,False
Y2lzY29zcGFyazovL3VzL1BFT1BMRS9jMDFmMDY5MS02N2VkLTQyMGMtODE3Zi03M2Y3ZDc1NmQ4ZmM,user,Y2lzY29zcGFyazovL3VzL0xJQ0VOU0UvZTVmN2Q5NzMtYjI2OS00Njg2LTk5N2UtNDUxMTkxNjhjZWQyOkZNU185ZWNhNzgxNC0zMzEzLTQ2NGYtOTY0Mi0wMjM5ODc1YmM5Zjg,Basic Messaging,False
Y2lzY29zcGFyazovL3VzL1BFT1BMRS9jOGViYWNjOC03YmMxLTQ5YWUtYTAwMy1mMWI2Yjg5MmUyMDE,user,Y2lzY29zcGFyazovL3VzL0xJQ0VOU0UvZTVmN2Q5NzMtYjI2OS00Njg2LTk5N2UtNDUxMTkxNjhjZWQyOkZNU185ZWNhNzgxNC0zMzEzLTQ2NGYtOTY0Mi0wMjM5ODc1YmM5Zjg,Basic Messaging,False
Y2lzY29zcGFyazovL3VzL1BFT1BMRS82MGNkZTc2MS03N2UyLTQ3YmItYmJiMS0zNmIzOTg3NDlkYjI,user,Y2lzY29zcGFyazovL3VzL0xJQ0VOU0UvZTVmN2Q5NzMtYjI2OS00Njg2LTk5N2UtNDUxMTkxNjhjZWQyOkZNU185ZWNhNzgxNC0zMzEzLTQ2NGYtOTY0Mi0wMjM5ODc1YmM5Zjg,Basic Messaging,False
Y2lzY29zcGFyazovL3VzL1BFT1BMRS8zNGUwZGRjZi0zNWQyLTQzODMtOTYyZS1kN2IzYjY3OTk3YTc,user,Y2lzY29zcGFyazovL3VzL0xJQ0VOU0UvZTVmN2Q5NzMtYjI2OS00Njg2LTk5N2UtNDUxMTkxNjhjZWQyOkZNU185ZWNhNzgxNC0zMzEzLTQ2NGYtOTY0Mi0wMjM5ODc1YmM5Zjg,Basic Messaging,False
Y2lzY29zcGFyazovL3VzL1BFT1BMRS9hZjFhMGE3My1mMDBkLTQwMGUtOTMxZC02YTRiNmNmNGI4Y2Q,user,Y2lzY29zcGFyazovL3VzL0xJQ0VOU0UvZTVmN2Q5NzMtYjI2OS00Njg2LTk5N2UtNDUxMTkxNjhjZWQyOkZNU185ZWNhNzgxNC0zMzEzLTQ2NGYtOTY0Mi0wMjM5ODc1YmM5Zjg,Basic Messaging,False
Y2lzY29zcGFyazovL3VzL1BFT1BMRS82NzNhMThmMC04Mzg5LTQyYjEtYTgwOS1iODE4M2I1ODJjZTM,user,Y2lzY29zcGFyazovL3VzL0xJQ0VOU0UvZTVmN2Q5NzMtYjI2OS00Njg2LTk5N2UtNDUxMTkxNjhjZWQyOkZTU18xYjcyOGZmOS03ZGU4LTRjYjctOTU0MC0yOTMyMGI1YTQyY2I,Free screen share,False
Y2lzY29zcGFyazovL3VzL1BFT1BMRS8xZWZiZjQ1Ny0zZWRkLTQ0MDUtYWNhYi1hNGZjMjY4ZmMyM2I,user,Y2lzY29zcGFyazovL3VzL0xJQ0VOU0UvZTVmN2Q5NzMtYjI2OS00Njg2LTk5N2UtNDUxMTkxNjhjZWQyOkZTU18xYjcyOGZmOS03ZGU4LTRjYjctOTU0MC0yOTMyMGI1YTQyY2I,Free screen share,False
